run_id,task_id,fault_type,fault_class,hook_tool,k,k_bin,n_steps,rel_pos,format,arm,auditor_role,sample_id,is_control,is_development,pred_step,true_step,exact,within3,pred_cat,true_cat,false_alarm,pointer_ok,parse_ok,too_long,tokens_in,tokens_out,bytes_record,prompt_hash,render_hash,model_tag,model_digest,ollama_version,think,num_ctx,seconds
3hop1__454441_55349_651302|clean,3hop1__454441_55349_651302,clean,none,,,,20,,log,lossless,second,0,1,0,12,,,,evidence,none,1,0,1,0,3035,178,9057,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,3ba9813236bab0e65bfbafd3473b0a13210b5ce4120cdc96a609e1402e74bac9,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,12.06
3hop1__454441_55349_651302|clean,3hop1__454441_55349_651302,clean,none,,,,20,,diff,lossless,second,0,1,0,,,,,none,none,0,0,1,0,3985,73,12170,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,44e2c146a6b8d0df7cc63260220c8616049eac059fadded79f922d6ad3cb5918,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,10.94
3hop1__454441_55349_651302|clean,3hop1__454441_55349_651302,clean,none,,,,20,,prov,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,3935,185,11742,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,005d22ed7400aa94a90a0ce04bcdd732054b5f666964943580a14f9b7c6ad37b,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.48
3hop1__836699_15840_36014|clean,3hop1__836699_15840_36014,clean,none,,,,14,,log,lossless,second,0,1,0,12,,,,state,none,1,1,1,0,2229,125,6594,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,3063b0e66861e45cbca8e8e4745570bca8d01a7a096796d2038b1a2869c63ceb,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,7.27
3hop1__836699_15840_36014|clean,3hop1__836699_15840_36014,clean,none,,,,14,,diff,lossless,second,0,1,0,,,,,none,none,0,0,1,0,2907,157,9035,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,7cc4f185d7bf93317c84b27e67323c069f5b754a6fd857bfb80c7d9aeeca5954,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,9.43
3hop1__836699_15840_36014|clean,3hop1__836699_15840_36014,clean,none,,,,14,,prov,lossless,second,0,1,0,,,,,none,none,0,0,1,0,2879,172,8626,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,15f7af166c576ba31d95751e316afb5972a37e465e74e551a3189a32f47ebe37,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,10.23
3hop1__19768_19788_10117|clean,3hop1__19768_19788_10117,clean,none,,,,14,,log,lossless,second,0,1,0,,,,,none,none,0,0,1,0,2186,129,6112,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,988b10196042e25ce529697c261ac540fdecfe1695578bc44294f5d4dd64bc1e,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,7.32
3hop1__19768_19788_10117|clean,3hop1__19768_19788_10117,clean,none,,,,14,,diff,lossless,second,0,1,0,,,,,none,none,0,0,1,0,2767,150,8044,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,230633f17d49b6046ef29710aacda0b4a67922852d7d29ef584869c5d14ccab2,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,8.88
3hop1__19768_19788_10117|clean,3hop1__19768_19788_10117,clean,none,,,,14,,prov,lossless,second,0,1,0,8,,,,tool,none,1,0,1,0,2863,159,8180,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,3f44611b5128c97147bfc6f172a9533fcefddf71607b318440f1bf022488a646,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,9.37
3hop2__855821_467331_162182|clean,3hop2__855821_467331_162182,clean,none,,,,20,,log,lossless,second,0,1,0,18,,,,evidence,none,1,1,1,0,3144,192,9738,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,66406d2934a3107899608f72c6099cf880b29915503a16bc2aace335df93fa8c,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,11.14
