run_id,task_id,fault_type,fault_class,hook_tool,k,k_bin,n_steps,rel_pos,format,arm,auditor_role,sample_id,is_control,is_development,pred_step,true_step,exact,within3,pred_cat,true_cat,false_alarm,pointer_ok,parse_ok,tokens_in,tokens_out,bytes_record,prompt_hash,render_hash,model_tag,model_digest,ollama_version,think,num_ctx,seconds
4hop1__151650_5274_458768_33637|clean,4hop1__151650_5274_458768_33637,clean,none,,,,32,,log,lossless,primary,0,1,1,30,,,,evidence,none,1,1,1,4452,198,15272,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,4b5807a407c04870e373638467c5af99c3f1d49c57bd1f527b90a5cdf7d17e18,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,18.04
4hop1__151650_5274_458768_33637|clean,4hop1__151650_5274_458768_33637,clean,none,,,,32,,diff,lossless,primary,0,1,1,,,,,,none,1,0,0,5905,1024,20332,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,7b77c825c1122e67e4fbef319b5ba000362b8e62c21648e4dc06d7a165346c04,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,49.06
4hop1__151650_5274_458768_33637|clean,4hop1__151650_5274_458768_33637,clean,none,,,,32,,prov,lossless,primary,0,1,1,30,,,,evidence,none,1,0,1,5879,179,19755,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,31b2ac8d8b7bcd109b31d9f8f9dafa0a9f4cecedfd76785c94e5898a12fac13f,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,22.87
4hop1__39871_314549_131976_56103|clean,4hop1__39871_314549_131976_56103,clean,none,,,,20,,log,lossless,primary,0,1,1,6,,,,evidence,none,1,1,1,3014,268,9612,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,5fb383456ba144872df535e61e0a40fdd8db8062f0955e30741a55cc0875f683,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,15.33
4hop1__39871_314549_131976_56103|clean,4hop1__39871_314549_131976_56103,clean,none,,,,20,,diff,lossless,primary,0,1,1,,,,,none,none,0,0,1,4009,159,13184,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,8c32e3466924ab4b96759c148adc94cb2b0ccdc46e6e4ebd7fa2043b2d1762cd,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,15.27
4hop1__39871_314549_131976_56103|clean,4hop1__39871_314549_131976_56103,clean,none,,,,20,,prov,lossless,primary,0,1,1,18,,,,evidence,none,1,1,1,3893,419,12267,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,37eaae9123c092e83f04ecd2319bd6807213f37bec3d60f20902fccec73841ad,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,21.63
3hop1__136016_87694_124169|clean,3hop1__136016_87694_124169,clean,none,,,,20,,log,lossless,primary,0,1,1,6,,,,evidence,none,1,1,1,3112,164,9129,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,c2df8deeaca7736bf6972f94e19aa0d5103d52f99e5394f464bb10d2a52244bc,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,14.75
3hop1__136016_87694_124169|clean,3hop1__136016_87694_124169,clean,none,,,,20,,diff,lossless,primary,0,1,1,,,,,none,none,0,0,1,4018,129,12064,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,0f063500b1956b50623dbcadbe01293fb185be33eafd7d52203ca8ee510dbfc2,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,13.56
3hop1__136016_87694_124169|clean,3hop1__136016_87694_124169,clean,none,,,,20,,prov,lossless,primary,0,1,1,6,,,,state,none,1,1,1,4037,207,11929,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,ffcd4a8f1af1db725588699bbd7f3cfe990ad2ec890ebd1cb9efe6830861b84d,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,17.26
4hop2__161602_474028_88460_21034|clean,4hop2__161602_474028_88460_21034,clean,none,,,,20,,log,lossless,primary,0,1,1,,,,,none,none,0,0,1,2972,141,8946,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,2a6adca034c16621997fe9601852e946ff7187aaac4e3fd199755527c72c09f4,glm-4.7-flash:q8_0,a035bf4bc812e1408631c2d2b14581b99dfe39f71d895aceb269b4a886080196,0.33.2,off,16384,12.5
