run_id,task_id,fault_type,fault_class,hook_tool,k,k_bin,n_steps,rel_pos,format,arm,auditor_role,sample_id,is_control,is_development,pred_step,true_step,exact,within3,pred_cat,true_cat,false_alarm,pointer_ok,parse_ok,too_long,tokens_in,tokens_out,bytes_record,prompt_hash,render_hash,model_tag,model_digest,ollama_version,think,num_ctx,seconds
3hop1__454441_55349_651302|corrupted_output|14,3hop1__454441_55349_651302,corrupted_output,tool,search,14.0,2.0,38,0.368,log,lossless,primary,0,0,0,,14.0,0.0,0.0,none,tool,,0,1,0,5922,154,18658,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,7e34407f9b6ca89afc62bf03d48687d88cdd3705f772aec36a149ca43701a2c5,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,70.99
3hop1__454441_55349_651302|corrupted_output|14,3hop1__454441_55349_651302,corrupted_output,tool,search,14.0,2.0,38,0.368,diff,lossless,primary,0,0,0,24.0,14.0,0.0,0.0,state,tool,,1,1,0,7629,170,24047,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,f531473228daa2f7099ef71d1e2555b24c0f4a19c1531bed1518d5a9890b9436,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,86.06
3hop1__454441_55349_651302|corrupted_output|14,3hop1__454441_55349_651302,corrupted_output,tool,search,14.0,2.0,38,0.368,prov,lossless,primary,0,0,0,24.0,14.0,0.0,0.0,state,tool,,0,1,0,7611,163,23437,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,86e379eb59d978b6508bcccc403b5fc39442095d29869ea75db54655067e36ca,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,87.94
3hop1__454441_55349_651302|dropped_note|6,3hop1__454441_55349_651302,dropped_note,state,write_note,6.0,0.0,20,0.3,log,lossless,primary,0,0,0,18.0,6.0,0.0,0.0,evidence,state,,0,1,0,3201,173,9022,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,c8bcd4d37148ff3c279bbcd41a46b815d01aee42524126e658777db9c5cd6cb1,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,46.85
3hop1__454441_55349_651302|dropped_note|6,3hop1__454441_55349_651302,dropped_note,state,write_note,6.0,0.0,20,0.3,diff,lossless,primary,0,0,0,18.0,6.0,0.0,0.0,evidence,state,,1,1,0,4145,196,12053,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,6f851d54f15e0600939c1d2c3512d6b239108312553bcb039b3dc20d794435fe,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,57.03
3hop1__454441_55349_651302|dropped_note|6,3hop1__454441_55349_651302,dropped_note,state,write_note,6.0,0.0,20,0.3,prov,lossless,primary,0,0,0,18.0,6.0,0.0,0.0,evidence,state,,0,1,0,4106,185,11543,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,79de8a5f779ab66b2467eee2b907dc8e36dabe058fd6621538a992489c309208,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,56.33
3hop1__454441_55349_651302|no_source|6,3hop1__454441_55349_651302,no_source,evidence,write_note,6.0,0.0,20,0.3,log,lossless,primary,0,0,0,18.0,6.0,0.0,0.0,evidence,evidence,,1,1,0,3210,216,9107,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,061e26e7457a97ef575d3862b96a6047c333ed7f8add963efe859fc27b603dae,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,52.02
3hop1__454441_55349_651302|no_source|6,3hop1__454441_55349_651302,no_source,evidence,write_note,6.0,0.0,20,0.3,diff,lossless,primary,0,0,0,18.0,6.0,0.0,0.0,evidence,evidence,,1,1,0,4175,183,12210,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,44ff66f08fc68104e93f44e828c8687c4c3dc03eb323b9596ef1d7306039a4e3,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,55.58
3hop1__454441_55349_651302|no_source|6,3hop1__454441_55349_651302,no_source,evidence,write_note,6.0,0.0,20,0.3,prov,lossless,primary,0,0,0,18.0,6.0,0.0,0.0,evidence,evidence,,0,1,0,4140,176,11686,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,bc70e99fa387e403d7779e14e91f4d104bb9c31b5370b999b3a4f6ccd9e815c8,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,52.67
3hop1__454441_55349_651302|overwritten_note|18,3hop1__454441_55349_651302,overwritten_note,state,write_note,18.0,2.0,20,0.9,log,lossless,primary,0,0,0,18.0,18.0,1.0,1.0,state,state,,1,1,0,3201,144,9057,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,2e988faae20ac3da4a391bb86e1da33572478fb1a51f05a818702cfffc0756df,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,43.78
3hop1__454441_55349_651302|overwritten_note|18,3hop1__454441_55349_651302,overwritten_note,state,write_note,18.0,2.0,20,0.9,diff,lossless,primary,0,0,0,18.0,18.0,1.0,1.0,state,state,,1,1,0,4180,180,12170,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,fdad9202e4e16f085c9891fc7660795de8b65354c33e5577318b50666d03548f,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,55.18
3hop1__454441_55349_651302|overwritten_note|18,3hop1__454441_55349_651302,overwritten_note,state,write_note,18.0,2.0,20,0.9,prov,lossless,primary,0,0,0,18.0,18.0,1.0,1.0,state,state,,1,1,0,4153,177,11701,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,5ca5bf34097bde9061742308c829dc1092e6889e1f991484b69bc6c90922cff7,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,57.52
3hop1__454441_55349_651302|wrong_argument|10,3hop1__454441_55349_651302,wrong_argument,tool,read,10.0,1.0,20,0.5,log,lossless,primary,0,0,0,10.0,10.0,1.0,1.0,tool,tool,,0,1,0,3228,192,9211,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,e90ab207b478a27fdba1ef0fc34ccc302b8c8096c16c1995c21628b6bb1b9941,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,47.24
3hop1__454441_55349_651302|wrong_argument|10,3hop1__454441_55349_651302,wrong_argument,tool,read,10.0,1.0,20,0.5,diff,lossless,primary,0,0,0,18.0,10.0,0.0,0.0,evidence,tool,,1,1,0,4187,237,12296,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,c210c5119e1757a9761f04a17e897013396799a0405b06cf69c92cc2d19b8fbc,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,62.82
3hop1__454441_55349_651302|wrong_argument|10,3hop1__454441_55349_651302,wrong_argument,tool,read,10.0,1.0,20,0.5,prov,lossless,primary,0,0,0,18.0,10.0,0.0,0.0,evidence,tool,,0,1,0,4204,187,11939,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,1583efaea299582eb492b91a28e32353d03a23b4bd55f972582e2581310b2c06,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,57.06
