task_id,run_id,fault_type,fault_class,format,exact,dataset
t0,t0|wrong_argument,wrong_argument,tool,log,0,0
t0,t0|wrong_argument,wrong_argument,tool,diff,0,0
t0,t0|wrong_argument,wrong_argument,tool,prov,0,0
t0,t0|corrupted_output,corrupted_output,tool,log,0,0
t0,t0|corrupted_output,corrupted_output,tool,diff,0,0
t0,t0|corrupted_output,corrupted_output,tool,prov,1,0
t0,t0|dropped_note,dropped_note,state,log,1,0
t0,t0|dropped_note,dropped_note,state,diff,0,0
t0,t0|dropped_note,dropped_note,state,prov,1,0
t0,t0|overwritten_note,overwritten_note,state,log,1,0
t0,t0|overwritten_note,overwritten_note,state,diff,1,0
t0,t0|overwritten_note,overwritten_note,state,prov,1,0
t0,t0|wrong_source,wrong_source,evidence,log,1,0
t0,t0|wrong_source,wrong_source,evidence,diff,1,0
t0,t0|wrong_source,wrong_source,evidence,prov,1,0
t0,t0|no_source,no_source,evidence,log,1,0
t0,t0|no_source,no_source,evidence,diff,0,0
t0,t0|no_source,no_source,evidence,prov,0,0
t1,t1|wrong_argument,wrong_argument,tool,log,0,0
t1,t1|wrong_argument,wrong_argument,tool,diff,1,0
t1,t1|wrong_argument,wrong_argument,tool,prov,1,0
t1,t1|corrupted_output,corrupted_output,tool,log,0,0
t1,t1|corrupted_output,corrupted_output,tool,diff,0,0
t1,t1|corrupted_output,corrupted_output,tool,prov,1,0
t1,t1|dropped_note,dropped_note,state,log,1,0
t1,t1|dropped_note,dropped_note,state,diff,0,0
t1,t1|dropped_note,dropped_note,state,prov,1,0
t1,t1|overwritten_note,overwritten_note,state,log,0,0
t1,t1|overwritten_note,overwritten_note,state,diff,1,0
t1,t1|overwritten_note,overwritten_note,state,prov,1,0
t1,t1|wrong_source,wrong_source,evidence,log,1,0
t1,t1|wrong_source,wrong_source,evidence,diff,1,0
t1,t1|wrong_source,wrong_source,evidence,prov,1,0
t1,t1|no_source,no_source,evidence,log,1,0
t1,t1|no_source,no_source,evidence,diff,1,0
t1,t1|no_source,no_source,evidence,prov,1,0
t2,t2|wrong_argument,wrong_argument,tool,log,1,0
t2,t2|wrong_argument,wrong_argument,tool,diff,1,0
t2,t2|wrong_argument,wrong_argument,tool,prov,1,0
