"dataset","p_interaction","ladder_step","still_failed"
0,0.163320697207,"glmer, task and run intercepts",FALSE
1,0.453447559181131,"glmer, task and run intercepts",FALSE
2,0.58013332991077,"glmer, task and run intercepts",FALSE
3,0.908353865350925,"glmer, task and run intercepts",FALSE
4,0.351310527719949,"glmer, task and run intercepts",FALSE
5,0.41506194507159,"glmer, task and run intercepts",FALSE
6,0.676172705479466,"glmer, task and run intercepts",FALSE
7,0.91869190301262,"glmer, task and run intercepts",FALSE
8,0.535571450174854,"glmer, task and run intercepts",FALSE
9,0.724370233989124,"glmer, task and run intercepts",FALSE
10,0.286283560949759,"glmer, task and run intercepts",FALSE
11,0.884902842294496,"glmer, task and run intercepts",FALSE
12,0.39843284433553,"glmer, task and run intercepts",FALSE
13,0.097014285524506,"glmer, task and run intercepts",FALSE
14,0.114040220232742,"glmer, task and run intercepts",FALSE
15,0.543227250008852,"glmer, task and run intercepts",FALSE
16,0.687116911510934,"glmer, task and run intercepts",FALSE
17,0.998388602316532,"glmer, task and run intercepts",FALSE
18,0.47350594607534,"glmer, task and run intercepts",FALSE
19,0.23817826472357,"glmer, task and run intercepts",FALSE
20,0.301622557800748,"glmer, task and run intercepts",FALSE
21,0.00225777074123667,"glmer, task and run intercepts",FALSE
22,0.834902324422742,"glmer, task and run intercepts",FALSE
23,0.566290985164311,"glmer, task and run intercepts",FALSE
24,0.64714934101125,"glmer, task and run intercepts",FALSE
25,0.681099485477705,"glmer, task and run intercepts",FALSE
26,0.190650782831875,"glmer, task and run intercepts",FALSE
27,0.0452800662259906,"glmer, task and run intercepts",FALSE
28,0.681364269164995,"glmer, task and run intercepts",FALSE
29,0.0830673281222842,"glmer, task and run intercepts",FALSE
30,0.26465268022679,"glmer, task and run intercepts",FALSE
31,0.662949819320656,"glmer, task and run intercepts",FALSE
32,0.660626100206511,"glmer, task and run intercepts",FALSE
33,0.452779279931134,"glmer, task and run intercepts",FALSE
34,0.376382450971799,"glmer, task and run intercepts",FALSE
35,0.349578428873676,"glmer, task and run intercepts",FALSE
36,0.793074613709086,"glmer, task and run intercepts",FALSE
37,0.991368770471785,"glmer, task and run intercepts",FALSE
38,0.105783182795969,"glmer, task and run intercepts",FALSE
39,0.0311485400029812,"glmer, task and run intercepts",FALSE
40,0.773026345791644,"glmer, task and run intercepts",FALSE
41,0.745656861601716,"glmer, task and run intercepts",FALSE
42,0.795106196605421,"glmer, task and run intercepts",FALSE
43,0.785830293366395,"glmer, task and run intercepts",FALSE
44,0.839393101128563,"glmer, task and run intercepts",FALSE
45,0.929298305526164,"glmer, task and run intercepts",FALSE
46,0.756467082120551,"glmer, task and run intercepts",FALSE
47,0.147500660784885,"glmer, task and run intercepts",FALSE
48,0.504214971673931,"glmer, task and run intercepts",FALSE
49,0.297836316449395,"glmer, task and run intercepts",FALSE
